Setor;Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);Part. (%)Acum.;
Consumo Ciclico / Comercio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,196;1,460;
Consumo Ciclico / Comercio;BHIA3;CASAS BAHIA;ON      NM;1.582.929.157;0,053;1,460;
Consumo Ciclico / Comercio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,162;1,460;
Consumo Ciclico / Comercio;LREN3;LOJAS RENNER;ON      NM;951.318.467;0,651;1,460;
Consumo Ciclico / Comercio;MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,317;1,460;
Consumo Ciclico / Comercio;PETZ3;PETZ;ON      NM;329.077.188;0,081;1,460;
Consumo Ciclico / Tecid Vest Calc;ALPA4;ALPARGATAS;PN      N1;208.965.950;0,083;0,083;
Consumo Ciclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,273;0,562;
Consumo Ciclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,091;0,562;
Consumo Ciclico/Constr Civil;MRVE3;MRV;ON      NM;376.187.582;0,198;0,562;
Consumo Ciclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;443.905.649;0,049;0,049;
Diversos;COGN3;COGNA ON;ON      NM;1.815.524.541;0,236;3,138;
Diversos;RENT3;LOCALIZA;ON      NM;846.394.333;2,425;3,138;
Diversos;VAMO3;VAMOS;ON      NM;421.383.330;0,201;3,138;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,276;3,138;
